FullID,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,ID,popID
BAJK_3_2016_BAJK_3_2016,-0.0217968,0.0312607,0.0768685,0.0160442,0.0163896,0.0376162,-0.0254155,-0.00115952,0.0121471,BAJK_3_2016,BAJK
JAPA_2_1994_JAPA_2_1994,-0.0475607,0.0179834,0.0851663,-0.00146233,0.000426164,-0.00173683,-0.0226865,-0.0103163,-0.0201118,JAPA_2_1994,JAPA
VORO_1_1998_VORO_1_1998,0.349605,0.0445726,-0.00876906,-0.035279,0.567103,-0.255101,-0.0398102,-0.431955,-0.413153,VORO_1_1998,VORO
SMAL_5_1998_SMAL_5_1998,-0.0491613,0.0050732,0.0311303,-0.0217122,0.00159047,-0.0119901,0.00151907,-0.0159503,0.0144258,SMAL_5_1998,SMAL
RUSS_2_1999_RUSS_2_1999,0.331127,0.146447,-0.00942665,-0.0148039,-0.148197,0.37131,0.782145,-0.211444,0.00805295,RUSS_2_1999,RUSS
KRAS_2_2002_KRAS_2_2002,0.278125,0.115151,0.0340658,-0.279892,-0.106108,-0.435565,-0.0582695,-0.3046,0.649114,KRAS_2_2002,KRAS
ALTA_2_2015_ALTA_2_2015,-0.0192893,-0.0173341,0.0597164,0.0210346,-0.0138374,0.0237742,-0.0615406,0.0141647,0.00437176,ALTA_2_2015,ALTA
SLOV_1_1990_SLOV_1_1990,-0.0407759,0.029083,0.0882524,0.0118536,0.0050957,0.01795,-0.023606,-0.0161191,-0.00583181,SLOV_1_1990,SLOV
POLA_1_2003_POLA_1_2003,0.309785,0.11106,0.0430752,0.0481479,0.62048,0.221495,-0.0204926,0.54678,0.305981,POLA_1_2003,POLA
JAPA_1_1994_JAPA_1_1994,-0.0523595,0.0179477,0.0825536,-0.00268905,0.00596327,0.00897363,-0.0124487,-0.0126193,-0.0139691,JAPA_1_1994,JAPA
ALTA_1_2015_ALTA_1_2015,-0.0444972,0.0216862,0.0870246,0.00366458,0.00138833,0.00432365,0.00279212,-0.00685223,0.00885071,ALTA_1_2015,ALTA
CHEH_3_2008_CHEH_3_2008,0.278323,0.0700977,0.100931,-0.261935,-0.252389,-0.518774,0.181701,0.504934,-0.385629,CHEH_3_2008,CHEH
KRAS_1_2002_KRAS_1_2002,-0.0522959,0.0196277,0.0506554,-0.00206143,-0.0065234,0.0145306,-0.0152496,-0.0142549,0.00352765,KRAS_1_2002,KRAS
SMAL_6_2013_SMAL_6_2013,0.397229,0.20027,-0.0380534,0.795602,-0.290233,-0.0779118,-0.211534,0.00419556,-0.00153299,SMAL_6_2013,SMAL
STOC_6_1965_STOC_6_1965,-0.0515646,0.0141959,0.0593825,0.00422685,-0.0080293,0.022398,-0.0150272,-0.0181404,-0.0203762,STOC_6_1965,STOC
CHEH_2_2004_CHEH_2_2004,-0.0149858,0.0129239,0.0843763,-0.0254832,-0.00178616,-0.00699405,-0.0176676,-0.00345533,0.00520649,CHEH_2_2004,CHEH
VAST_2_1999_VAST_2_1999,-0.0490674,0.0213247,0.0797391,0.0030445,-0.00519399,0.0156935,-0.0193572,-0.0264656,-0.0178641,VAST_2_1999,VAST
BAJK_1_2016_BAJK_1_2016,-0.0494472,0.0150155,0.0544135,-0.00187862,-0.0108079,0.0261603,-0.0170297,-0.0136592,-0.0172226,BAJK_1_2016,BAJK
BAJK_2_2016_BAJK_2_2016,-0.0536815,0.021675,0.0741937,0.00852431,-0.0050159,-0.00104499,-0.0192628,-0.00704051,-0.0217608,BAJK_2_2016,BAJK
BAJK_4_2016_BAJK_4_2016,-0.0470271,0.0249075,0.0591252,-0.00814771,0.022251,-0.00746539,-0.012454,-0.0331367,-0.00139653,BAJK_4_2016,BAJK
