task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
27	d2/59d09a	37898090	NFCORE_SAREK:SAREK:FASTP (JAPA_1_1994-L001)	COMPLETED	0	2023-05-12 11:08:46.311	9h 20m 16s	3m 35s	961.6%	1.9 GB	2.8 GB	11.3 GB	10.2 GB
81	31/538750	37898145	NFCORE_SAREK:SAREK:FASTQC (VAST_3_2005-L001)	COMPLETED	0	2023-05-12 11:08:51.613	9h 20m 55s	10m 37s	198.8%	1.1 GB	3.8 GB	10.3 GB	4.4 MB
25	1d/82c8fa	37898089	NFCORE_SAREK:SAREK:FASTQC (JAPA_1_1994-L001)	COMPLETED	0	2023-05-12 11:08:46.286	9h 21m 26s	11m 3s	197.5%	1.1 GB	3.8 GB	11.3 GB	4.3 MB
1	65/00c641	37898075	NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (GCA_905220545.2_ilMelAtha1.2_genomic.fna)	COMPLETED	0	2023-05-12 11:08:44.503	9h 21m 33s	11m 5s	98.3%	874.7 MB	895.5 MB	2.3 GB	1.6 GB
52	0e/00c4f4	37898117	NFCORE_SAREK:SAREK:FASTQC (SMAL_4_1996-L001)	COMPLETED	0	2023-05-12 11:08:49.443	9h 21m 28s	11m 8s	197.0%	1.1 GB	3.8 GB	9.7 GB	4.3 MB
56	da/e05851	37898121	NFCORE_SAREK:SAREK:FASTQC (RUSS_3_1999-L001)	COMPLETED	0	2023-05-12 11:08:49.528	9h 21m 53s	11m 33s	198.9%	1.1 GB	3.8 GB	9.9 GB	4.3 MB
72	1b/9702de	37898139	NFCORE_SAREK:SAREK:FASTP (КAZA_2_2006-L001)	COMPLETED	0	2023-05-12 11:08:51.391	9h 22m 36s	3m 9s	760.0%	1.8 GB	2.6 GB	6.2 GB	5.6 GB
30	84/9f705f	37898096	NFCORE_SAREK:SAREK:FASTQC (CHEH_1_1989-L001)	COMPLETED	0	2023-05-12 11:08:46.541	9h 23m 20s	12m 58s	198.2%	1 GB	3.8 GB	12.2 GB	4.3 MB
105	66/9906f4	37905773	NFCORE_SAREK:SAREK:FASTQC (POLA_1_2003-L001)	COMPLETED	0	2023-05-12 20:19:12.593	1h 25m 5s	8m 8s	196.7%	1.1 GB	3.8 GB	6.3 GB	4.4 MB
90	9a/b009d5	37898154	NFCORE_SAREK:SAREK:FASTP (STOC_3_1965-L001)	COMPLETED	0	2023-05-12 11:08:52.475	14h 45m 55s	1m 3s	924.5%	1.9 GB	2.8 GB	2.8 GB	2.3 GB
91	80/69595a	37898157	NFCORE_SAREK:SAREK:FASTP (DALA_1_1965-L001)	COMPLETED	0	2023-05-12 11:08:52.554	14h 47m 5s	1m 56s	944.0%	2 GB	2.8 GB	5 GB	4 GB
94	ba/69996d	37898158	NFCORE_SAREK:SAREK:FASTP (SMAL_3_1967-L001)	COMPLETED	0	2023-05-12 11:08:52.612	14h 51m 40s	1m 10s	924.7%	1.9 GB	2.8 GB	3 GB	2.4 GB
98	c4/234faa	37898163	NFCORE_SAREK:SAREK:FASTP (RUSS_2_1999-L001)	COMPLETED	0	2023-05-12 11:08:53.465	14h 51m 44s	1m 4s	920.0%	1.9 GB	2.8 GB	3.2 GB	2.9 GB
95	29/3796e7	37898161	NFCORE_SAREK:SAREK:FASTP (STOC_5_1965-L001)	COMPLETED	0	2023-05-12 11:08:52.730	14h 53m 5s	2m 15s	909.3%	1.9 GB	2.8 GB	5.5 GB	4.6 GB
99	d6/97739b	37898165	NFCORE_SAREK:SAREK:FASTP (КALM_6_1961-L001)	COMPLETED	0	2023-05-12 11:08:53.513	14h 57m 34s	1m 23s	914.9%	1.9 GB	2.8 GB	3.7 GB	3 GB
104	af/cd3fe1	37898168	NFCORE_SAREK:SAREK:FASTP (GAST_1_1941-L001)	COMPLETED	0	2023-05-12 11:08:53.581	15h 4m 4s	2m 20s	907.2%	2 GB	2.8 GB	5.7 GB	4.5 GB
102	69/2bbd77	37905772	NFCORE_SAREK:SAREK:FASTP (GAST_13_1969-L001)	COMPLETED	0	2023-05-12 20:19:12.255	5h 58m 50s	1m 55s	907.8%	1.9 GB	2.8 GB	4.7 GB	3.9 GB
