samplename_index_lane readgroup_id readgroup_platform path_to_R1_fastq_file path_to_R2_fastq_file
GAST131969_01_L1 AHKFY7DSX5.L001.S27 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1027/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1027_S27_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1027/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1027_S27_L001_R2_001.fastq.gz
GAST11941_01_L1 AHKFY7DSX5.L001.S3 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1003/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1003_S3_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1003/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1003_S3_L001_R2_001.fastq.gz
КALM81969_01_L1 AHKFY7DSX5.L001.S29 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1029/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1029_S29_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1029/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1029_S29_L001_R2_001.fastq.gz
GAST81965_01_L1 AHKFY7DSX5.L001.S11 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1011/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1011_S11_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1011/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1011_S11_L001_R2_001.fastq.gz
КALM21955_01_L1 AHKFY7DSX5.L001.S30 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1030/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1030_S30_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1030/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1030_S30_L001_R2_001.fastq.gz
GAST91965_01_L1 AHKFY7DSX5.L001.S14 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1014/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1014_S14_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1014/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1014_S14_L001_R2_001.fastq.gz
SMAL11967_01_L1 AHKFY7DSX5.L001.S5 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1005/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1005_S5_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1005/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1005_S5_L001_R2_001.fastq.gz
STOC11965_01_L1 AHKFY7DSX5.L001.S1 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1001/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1001_S1_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1001/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1001_S1_L001_R2_001.fastq.gz
КALM41957_01_L1 AHKFY7DSX5.L001.S24 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1024/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1024_S24_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1024/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1024_S24_L001_R2_001.fastq.gz
GAST31941_01_L1 AHKFY7DSX5.L001.S17 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1017/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1017_S17_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1017/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1017_S17_L001_R2_001.fastq.gz
GAST51943_01_L1 AHKFY7DSX5.L001.S15 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1015/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1015_S15_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1015/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1015_S15_L001_R2_001.fastq.gz
UPPS21958_01_L1 AHKFY7DSX5.L001.S23 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1023/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1023_S23_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1023/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1023_S23_L001_R2_001.fastq.gz
