"Quality"	"ALTA_1_2015.freebayes"	"ALTA_2_2015.freebayes"	"BAJK_1_2016.freebayes"	"BAJK_2_2016.freebayes"	"BAJK_3_2016.freebayes"	"BAJK_4_2016.freebayes"	"BELA_1_2004.freebayes"	"CHEH_1_1989.freebayes"	"CHEH_2_2004.freebayes"	"CHEH_3_2008.freebayes"	"JAPA_1_1994.freebayes"	"JAPA_2_1994.freebayes"	"KALM_10_1983.freebayes"	"KALM_1_2018.freebayes"	"KALM_9_1981.freebayes"	"KAZA_1_2006.freebayes"	"KAZA_2_2006.freebayes"	"KRAS_1_2002.freebayes"	"KRAS_2_2002.freebayes"	"KRAS_3_2002.freebayes"	"KRAS_4_2002.freebayes"	"POLA_1_2003.freebayes"	"POLA_2_2003.freebayes"	"RUSS_1_1998.freebayes"	"RUSS_2_1999.freebayes"	"RUSS_3_1999.freebayes"	"RUSS_4_2008.freebayes"	"RUSS_5_2008.freebayes"	"SLOV_1_1990.freebayes"	"SMAL_4_1996.freebayes"	"SMAL_5_1998.freebayes"	"SMAL_6_2013.freebayes"	"STOC_6_1965.freebayes"	"URAL_1_1991.freebayes"	"URAL_2_1995.freebayes"	"VAST_1_1983.freebayes"	"VAST_2_1999.freebayes"	"VAST_3_2005.freebayes"	"VORO_1_1998.freebayes"
0	1539338	998963	731099	1202842	1270522	1221748	691457	1775083	1346692	720212	1633172	400919	1742310	1607710	1705411	1178417	1553725	1742523	625393	1670460	955549	1514507	1590878	1688864	776024	1736070	1372006	1302203	1700731	1704328	889479	1369221	1281183	1413022	1360824	1716729	819998	1580570	1176931
41.9										3729																									6159
42.2																																1036
42.3																																					3438
42.4																														1401
42.5																2508																						977
42.6																						905			806									1076					1088
42.8		11134																	29491
43.1			937
43.2																													1397
43.3												953																1664
43.6										932							1887
44.2						1617																		1507
44.3																									1097
44.4															1241
44.5							998																								832
44.7											1386								1298							1368
44.8														2581
44.9																																1229
45																																							4197
45.1																		1535
45.3									1259	963
45.4																																	1243
45.5																											1644
45.6				2065
45.7					1761							1173
45.8																																		1755			3511
45.9																									18072
46																					1499
46.1			799
46.2	3368																						4899
46.3																1484																						1227
46.4																						2091
46.5																			3621
46.6																																			1790
46.7																																				2623
47										1027
47.2								1352
47.4																																							3629
47.5																																1300
47.6																									11470			5503
47.7							1553
47.8													1158
48.1		2624										859
48.2																															770
48.3						1225
48.4																			3058	1631
48.6										919
49																	1149
49.1																																		1518
49.2			3328																						2050
49.3																																					1995
49.4																														1718
49.7				5570																																			3473
49.9																																	1319
50.1																																1236
50.2																1103					1137																	1113
50.3										2179									2034			1707
50.5												2833												2967
50.6																											1684
50.7																		4021
50.8															1700										1366
50.9							4437		2203
51.2																																			2041
51.9																													1776
52	2802									3283													2454					3136			1733
52.1											2643								4152							2964													2761
52.2														21055
52.3			1068		2062	1688
52.4																																		2918
52.5																									3392
52.8																																1247					1466
52.9												736
53.4		4410																																		3342
53.7										949
53.9				1490
54																840			1235																			1207
54.1							1068																		947
54.2																						3089
54.4																	1683				1255
54.5																																	2060						1758
54.6													1178
55								1150
55.3										1991		3539
55.4			6493																	2140												4619
55.6																											1878
55.7																															3355			4725
55.8																									2268
55.9																			3280																6740
56.3						2390																						2465									3270
56.4																		6710
56.5																														4470
56.6									1344
56.8																								2047
56.9																																							2461
57										6232
57.1															2216
57.2							5701
57.4																									5212
57.7												5949							3223
