task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1625	16/488692	38675814	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (URAL_1_1991)	COMPLETED	0	2023-06-15 21:41:26.239	9m 3s	8m 55s	97.7%	84.6 MB	146 MB	3.9 GB	114.6 KB
1655	18/ca56f6	38675856	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (POLA_1_2003)	COMPLETED	0	2023-06-15 21:50:29.778	9.8s	2s	83.7%	4.3 MB	13.2 MB	2.8 GB	163.9 KB
1637	35/7d801c	38675827	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (RUSS_5_2008)	COMPLETED	0	2023-06-15 21:43:19.773	7m 40s	7m 29s	98.3%	83.8 MB	145.9 MB	3.6 GB	110.6 KB
1640	a4/5dc6fe	38675831	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (BAJK_3_2016)	COMPLETED	0	2023-06-15 21:44:09.893	7m 15s	7m 10s	98.5%	85.3 MB	146 MB	3.6 GB	122.9 KB
1656	82/2fd128	38675858	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (POLA_1_2003)	COMPLETED	0	2023-06-15 21:50:39.734	59.8s	50s	216.7%	324.3 MB	348.2 MB	3.3 GB	10.3 MB
1555	c8/b3d415	38675713	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (POLA_2_2003)	COMPLETED	0	2023-06-15 21:19:44.013	32m 21s	31m 48s	158.2%	25.2 GB	34.8 GB	33.1 GB	13.3 GB
1659	c8/8d4a48	38675863	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (POLA_2_2003)	COMPLETED	0	2023-06-15 21:52:04.763	9.8s	2s	85.3%	4.1 MB	13.2 MB	3.2 GB	173.2 KB
1660	e1/7d2ea1	38675864	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (POLA_2_2003)	COMPLETED	0	2023-06-15 21:52:14.736	59.9s	52s	223.2%	322.4 MB	347.7 MB	3.7 GB	10.9 MB
1645	77/7dae1c	38675841	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (CHEH_2_2004)	COMPLETED	0	2023-06-15 21:46:29.741	8m 55s	8m 46s	98.7%	86 MB	146 MB	4.2 GB	115.5 KB
1652	89/65ddcc	38675851	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (KAZA_1_2006)	COMPLETED	0	2023-06-15 21:48:19.781	7m 25s	7m 17s	98.7%	86.5 MB	146 MB	4 GB	109.6 KB
1572	a2/7da4d6	38675747	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (KAZA_2_2006)	COMPLETED	0	2023-06-15 21:28:45.987	27m 19s	26m 51s	146.6%	23.9 GB	34.8 GB	30.5 GB	12.2 GB
1541	3d/22abd1	38675699	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (VAST_1_1983)	COMPLETED	0	2023-06-15 21:19:28.715	36m 41s	35m 46s	161.5%	21.1 GB	34.8 GB	40.3 GB	16.3 GB
1663	77/ff044f	38675874	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (KAZA_2_2006)	COMPLETED	0	2023-06-15 21:56:04.715	9.9s	6s	33.3%	4.3 MB	13.3 MB	2.9 GB	158.3 KB
1664	22/73dc9b	38675875	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (VAST_1_1983)	COMPLETED	0	2023-06-15 21:56:09.769	9.8s	2s	77.8%	4.1 MB	13.1 MB	3.9 GB	206.2 KB
1649	48/2edd97	38675845	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (RUSS_1_1998)	COMPLETED	0	2023-06-15 21:46:44.873	9m 45s	9m 38s	98.6%	84.6 MB	145.9 MB	4.7 GB	116.3 KB
1559	36/838143	38675729	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (KRAS_1_2002)	COMPLETED	0	2023-06-15 21:25:03.118	31m 46s	31m 16s	167.2%	21 GB	34.8 GB	36.5 GB	15 GB
1671	8a/611a8e	38675883	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (KRAS_1_2002)	COMPLETED	0	2023-06-15 21:56:49.798	9.8s	2s	79.8%	4.1 MB	13.2 MB	3.7 GB	200.3 KB
1665	83/a693e4	38675876	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (KAZA_2_2006)	COMPLETED	0	2023-06-15 21:56:14.941	49.6s	47s	232.2%	324.8 MB	348.1 MB	3.4 GB	10.9 MB
1668	0d/e2c878	38675878	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (VAST_1_1983)	COMPLETED	0	2023-06-15 21:56:19.767	59.8s	49s	267.2%	230.5 MB	253.6 MB	4.4 GB	11.3 MB
1673	b8/d74190	38675885	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (KRAS_1_2002)	COMPLETED	0	2023-06-15 21:56:59.863	1m 10s	1m 1s	215.7%	326 MB	349.5 MB	4.1 GB	10.9 MB
1545	b9/82ded7	38675703	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (VAST_3_2005)	COMPLETED	0	2023-06-15 21:19:33.800	38m 46s	37m 53s	160.9%	15.6 GB	34.8 GB	48.6 GB	21 GB
1502	a4/161191	38675682	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (SMAL_4_1996)	COMPLETED	0	2023-06-15 21:18:14.166	40m 10s	39m 31s	161.3%	15.9 GB	34.9 GB	47.6 GB	20.8 GB
1675	da/f67114	38675891	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (VAST_3_2005)	COMPLETED	0	2023-06-15 21:58:19.827	9.8s	3s	82.2%	4.3 MB	13.3 MB	4.3 GB	252.9 KB
1548	f6/c4ae9a	38675706	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (KRAS_3_2002)	COMPLETED	0	2023-06-15 21:19:43.725	38m 51s	38m 10s	161.5%	18 GB	34.8 GB	46.3 GB	20 GB
1676	3b/a6ab18	38675893	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (SMAL_4_1996)	COMPLETED	0	2023-06-15 21:58:24.838	9.9s	5s	48.7%	4.4 MB	13.4 MB	4.5 GB	249.5 KB
1657	9f/0da2a8	38675859	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (POLA_1_2003)	COMPLETED	0	2023-06-15 21:50:39.877	8m 5s	7m 58s	98.7%	62.2 MB	145.9 MB	3.9 GB	111.3 KB
1680	c0/619d6a	38675896	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (KRAS_3_2002)	COMPLETED	0	2023-06-15 21:58:34.918	10.2s	5s	52.1%	4.2 MB	13.2 MB	4.3 GB	229.6 KB
1549	f7/275a28	38675707	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (KALM_1_2018)	COMPLETED	0	2023-06-15 21:19:43.774	39m 26s	38m 47s	159.8%	15.5 GB	34.8 GB	44.1 GB	19.7 GB
