patientsamplelane_01_L1 AHKFY7DSX5.L001. illumina fastq_1 fastq_2
GAST71965_01_L1 AHKFY7DSX5.L001.S10 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1010/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1010_S10_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1010/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1010_S10_L001_R2_001.fastq.gz
SMAL51998_01_L1 AHKFY7DSX5.L001.S37 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1037/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1037_S37_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1037/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1037_S37_L001_R2_001.fastq.gz
GAST111965_01_L1 AHKFY7DSX5.L001.S18 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1018/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1018_S18_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1018/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1018_S18_L001_R2_001.fastq.gz
VAST32005_01_L1 AHKFY7DSX5.L001.S55 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1055/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1055_S55_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1055/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1055_S55_L001_R2_001.fastq.gz
GAST121969_01_L1 AHKFY7DSX5.L001.S12 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1012/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1012_S12_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1012/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1012_S12_L001_R2_001.fastq.gz
JAPA21994_01_L1 AHKFY7DSX5.L001.S63 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1063/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1063_S63_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1063/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1063_S63_L001_R2_001.fastq.gz
STOC31965_01_L1 AHKFY7DSX5.L001.S7 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1007/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1007_S7_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1007/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1007_S7_L001_R2_001.fastq.gz
DALA11965_01_L1 AHKFY7DSX5.L001.S6 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1006/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1006_S6_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1006/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1006_S6_L001_R2_001.fastq.gz
SMAL31967_01_L1 AHKFY7DSX5.L001.S33 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1033/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1033_S33_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1033/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1033_S33_L001_R2_001.fastq.gz
STOC51965_01_L1 AHKFY7DSX5.L001.S13 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1013/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1013_S13_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1013/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1013_S13_L001_R2_001.fastq.gz
RUSS21999_01_L1 AHKFY7DSX5.L001.S46 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1046/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1046_S46_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1046/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1046_S46_L001_R2_001.fastq.gz
КALM61961_01_L1 AHKFY7DSX5.L001.S25 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1025/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1025_S25_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1025/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1025_S25_L001_R2_001.fastq.gz
GAST131969_01_L1 AHKFY7DSX5.L001.S27 illumina /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1027/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1027_S27_L001_R1_001.fastq.gz /proj/uppstore2017185/b2014034/private/raw_data/Assmann/DataDelivery_2023-03-07_15-07-05_ngisthlm00193/files/P27562/P27562_1027/02-FASTQ/230303_A00689_0768_AHKFY7DSX5/P27562_1027_S27_L001_R2_001.fastq.gz
